"k","signal_mode","method","way","type1_error","n_nonmissing","total_weight","signal_cluster","cluster_n_otus_template","method_label"
6,"abundance","jaccard","abund_sum_x_mean_abund",0.0514,600,87471.7473,NA,NA,"Jaccard"
6,"both","AHC_euclidean","abund_sum_x_mean_abund",0.045,600,87471.7473,NA,NA,"AHC"
6,"both","aitchison","abund_sum_x_mean_abund",0.0332,600,87471.7473,NA,NA,"Aitchison(0.5)"
6,"both","aitchison_pc1","abund_sum_x_mean_abund",0.0336,600,87471.7473,NA,NA,"Aitchison(1)"
6,"both","aitchison_pc0.1","abund_sum_x_mean_abund",0.0352,600,87471.7473,NA,NA,"Aitchison(0.1)"
6,"both","aitchison_pc0.01","abund_sum_x_mean_abund",0.0317,600,87471.7473,NA,NA,"Aitchison(0.01)"
6,"both","ILR_euclidean_pc0.01","abund_sum_x_mean_abund",0.0332,600,87471.7473,NA,NA,"ILR Euclidean(0.01)"
6,"both","ILR_euclidean_pc0.1","abund_sum_x_mean_abund",0.0381,600,87471.7473,NA,NA,"ILR Euclidean(0.1)"
6,"both","ILR_euclidean_pc0.5","abund_sum_x_mean_abund",0.0353,600,87471.7473,NA,NA,"ILR Euclidean(0.5)"
6,"both","ILR_euclidean_pc1","abund_sum_x_mean_abund",0.0315,600,87471.7473,NA,NA,"ILR Euclidean(1)"
6,"both","bray","abund_sum_x_mean_abund",0.0493,600,87471.7473,NA,NA,"Bray-Curtis"
6,"both","euclidean","abund_sum_x_mean_abund",0.0515,600,87471.7473,NA,NA,"Euclidean"
6,"both","jaccard","abund_sum_x_mean_abund",0.0413,600,87471.7473,NA,NA,"Jaccard"
6,"prevalence","AHC_euclidean","abund_sum_x_mean_abund",0.0716,600,87471.7473,NA,NA,"AHC"
6,"prevalence","aitchison","abund_sum_x_mean_abund",0.0613,600,87471.7473,NA,NA,"Aitchison(0.5)"
6,"prevalence","aitchison_pc1","abund_sum_x_mean_abund",0.0571,600,87471.7473,NA,NA,"Aitchison(1)"
