"Outcome","EventTime","Arm","Estimate","Lower","Upper"
"HRIC distance to personal baseline",6,"Control",1.99027461656781,1.90107631291042,2.0794729202252
"HRIC distance to personal baseline",6,"Auto-FMT",1.35742640884809,1.20059888249009,1.51425393520609
"HRIC distance to personal baseline",7,"Control",1.99424740102961,1.90257628313133,2.08591851892789
"HRIC distance to personal baseline",7,"Auto-FMT",1.38162534484597,1.23261506323642,1.53063562645552
"HRIC distance to personal baseline",8,"Control",1.9982201854914,1.90255925199248,2.09388111899032
"HRIC distance to personal baseline",8,"Auto-FMT",1.40582428084385,1.25818087919506,1.55346768249264
"HRIC distance to personal baseline",9,"Control",2.0021929699532,1.90120485976766,2.10318108013874
"HRIC distance to personal baseline",9,"Auto-FMT",1.43002321684172,1.2771232394095,1.58292319427395
"HRIC distance to personal baseline",10,"Control",2.00616575441499,1.89871182726662,2.11361968156336
"HRIC distance to personal baseline",10,"Auto-FMT",1.4542221528396,1.29007724377933,1.61836706189987
"HRIC distance to personal baseline",11,"Control",2.01013853887679,1.89527227585684,2.12500480189673
"HRIC distance to personal baseline",11,"Auto-FMT",1.47842108883748,1.29816011617475,1.6586820615002
"HRIC distance to personal baseline",12,"Control",2.01411132333858,1.89105713137209,2.13716551530507
"HRIC distance to personal baseline",12,"Auto-FMT",1.50262002483535,1.30254552775114,1.70269452191957
"HRIC distance to personal baseline",13,"Control",2.01808410780038,1.8862107829743,2.14995743262645
"HRIC distance to personal baseline",13,"Auto-FMT",1.52681896083323,1.30421862497327,1.7494192966932
"HRIC distance to personal baseline",14,"Control",2.02205689226217,1.88085144866796,2.16326233585639
"HRIC distance to personal baseline",14,"Auto-FMT",1.55101789683111,1.30392007472472,1.79811571893749
"HRIC distance to personal baseline",15,"Control",2.01915667303,1.88250970045961,2.1558036456004
"HRIC distance to personal baseline",15,"Auto-FMT",1.55576638648299,1.31682580775372,1.79470696521226
"HRIC distance to personal baseline",16,"Control",2.01625645379784,1.88412955561541,2.14838335198026
"HRIC distance to personal baseline",16,"Auto-FMT",1.56051487613488,1.32947113361572,1.79155861865404
"HRIC distance to personal baseline",17,"Control",2.01335623456567,1.8857069351841,2.14100553394723
"HRIC distance to personal baseline",17,"Auto-FMT",1.56526336578677,1.34182843997824,1.78869829159529
"HRIC distance to personal baseline",18,"Control",2.0104560153335,1.88723720856871,2.13367482209829
"HRIC distance to personal baseline",18,"Auto-FMT",1.57001185543865,1.35386730772836,1.78615640314894
"HRIC distance to personal baseline",19,"Control",2.00755579610133,1.88871510716394,2.12639648503872
"HRIC distance to personal baseline",19,"Auto-FMT",1.57476034509054,1.36555444350377,1.7839662466773
"HRIC distance to personal baseline",20,"Control",2.00465557686916,1.89013462397263,2.11917652976569
"HRIC distance to personal baseline",20,"Auto-FMT",1.57950883474242,1.37685371555567,1.78216395392918
"HRIC distance to personal baseline",21,"Control",2.00175535763699,1.89148889738646,2.11202181788753
"HRIC distance to personal baseline",21,"Auto-FMT",1.58425732439431,1.38772633516745,1.78078831362117
"HRIC distance to personal baseline",22,"Control",1.99885513840482,1.89277007744581,2.10494019936384
"HRIC distance to personal baseline",22,"Auto-FMT",1.58900581404619,1.39813123103317,1.77988039705922
"HRIC distance to personal baseline",23,"Control",1.99595491917266,1.89396917330681,2.0979406650385
"HRIC distance to personal baseline",23,"Auto-FMT",1.59375430369808,1.40802566434936,1.7794829430468
"HRIC distance to personal baseline",24,"Control",1.99305469994049,1.89507588151739,2.09103351836358
"HRIC distance to personal baseline",24,"Auto-FMT",1.59850279334997,1.41736612442763,1.7796394622723
"HRIC distance to personal baseline",25,"Control",1.99015448070832,1.89607839629788,2.08423056511876
"HRIC distance to personal baseline",25,"Auto-FMT",1.60325128300185,1.42610952479038,1.78039304121333
"HRIC distance to personal baseline",26,"Control",1.98725426147615,1.89696320568957,2.07754531726272
