"Taxon","AHC","CLR_pc0.01","CLR_pc0.5","CLR_pc1","DESeq2","LEfSe"
"AF091146.1.1792",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF098371.1.1444",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF100940.1.1796",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF107082.1.1793",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AF107089.1.1797",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AF109322.1.1762",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AF114498.1.1489",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF114502.1.1530",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"AF114506.1.1503",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF114509.1.1614",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AF121095.1.906",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF121096.1.905",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF121999.1.911",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF172714.1.1797",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"AF235121.1.1536",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AF239260.1.1699",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF239705.1.1437",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF257277.1.1402",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF280849.1.1505",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AF288157.1.1529",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF290067.1.1654",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AF290075.1.1671",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF290077.1.1679",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF293673.1.1803",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF293682.1.1809",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AF293683.1.1809",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF315604.1.1807",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"AF353226.1.1439",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF354596.1.1492",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"AF355050.1.1465",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"AF355054.1.1421",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF358062.1.1824",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AF358094.1.1823",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"AF382126.1.1514",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AF382142.1.1524",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AF382143.1.1502",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF406525.1.1413",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF406530.1.1447",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF406533.1.1426",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF406542.1.1403",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF468289.1.1432",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
