"rep_id","transformation","power","fdr","TP","FP","FN","rejections","alpha","beta0","beta","q"
83,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
83,"ALR",0.16,0,4,0,21,4,1,1,1,0.2
83,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
83,"ILR",0,NA,0,0,25,0,1,1,1,0.2
84,"AHC",0,NA,0,0,25,0,1,1,1,0.2
84,"ALR",0.12,0,3,0,22,3,1,1,1,0.2
84,"CLR",0,NA,0,0,25,0,1,1,1,0.2
84,"ILR",0,1,0,2,25,2,1,1,1,0.2
85,"AHC",0,1,0,2,25,2,1,1,1,0.2
85,"ALR",0,NA,0,0,25,0,1,1,1,0.2
85,"CLR",0,1,0,2,25,2,1,1,1,0.2
85,"ILR",0,1,0,2,25,2,1,1,1,0.2
86,"AHC",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
86,"ALR",0.12,0,3,0,22,3,1,1,1,0.2
86,"CLR",0.08,0.333333333333333,2,1,23,3,1,1,1,0.2
86,"ILR",0,1,0,3,25,3,1,1,1,0.2
87,"AHC",0.04,0.75,1,3,24,4,1,1,1,0.2
87,"ALR",0.2,0,5,0,20,5,1,1,1,0.2
87,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
87,"ILR",0,1,0,3,25,3,1,1,1,0.2
88,"AHC",0,NA,0,0,25,0,1,1,1,0.2
88,"ALR",0,NA,0,0,25,0,1,1,1,0.2
88,"CLR",0,NA,0,0,25,0,1,1,1,0.2
88,"ILR",0,NA,0,0,25,0,1,1,1,0.2
89,"AHC",0,1,0,1,25,1,1,1,1,0.2
89,"ALR",0,NA,0,0,25,0,1,1,1,0.2
89,"CLR",0,NA,0,0,25,0,1,1,1,0.2
89,"ILR",0,1,0,1,25,1,1,1,1,0.2
90,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
90,"ALR",0,NA,0,0,25,0,1,1,1,0.2
90,"CLR",0,NA,0,0,25,0,1,1,1,0.2
90,"ILR",0,1,0,2,25,2,1,1,1,0.2
91,"AHC",0,1,0,1,25,1,1,1,1,0.2
91,"ALR",0.28,0,7,0,18,7,1,1,1,0.2
91,"CLR",0,NA,0,0,25,0,1,1,1,0.2
91,"ILR",0,NA,0,0,25,0,1,1,1,0.2
92,"AHC",0,1,0,1,25,1,1,1,1,0.2
92,"ALR",0,NA,0,0,25,0,1,1,1,0.2
92,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
92,"ILR",0,1,0,3,25,3,1,1,1,0.2
93,"AHC",0,1,0,1,25,1,1,1,1,0.2
93,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
93,"CLR",0,1,0,1,25,1,1,1,1,0.2
93,"ILR",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
94,"AHC",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
94,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
