"replicate","k","signal_mode","beta","normalized_between_group_turnover","manova_pseudo_F","ss_between"
83,12,"Abundance",0.1,0.00324446976909999,0.869248312255916,0.759988721940397
84,12,"Abundance",0.1,0.00382084036844277,1.02197472819755,0.8949985036096
85,12,"Abundance",0.1,0.00360104693816331,0.955236136242426,0.843513811176994
86,12,"Abundance",0.1,0.00346478645121426,0.913468877760901,0.811595981547754
87,12,"Abundance",0.1,0.00318568236810446,0.843342627737438,0.746218286421372
88,12,"Abundance",0.1,0.00363852923007256,0.976951301158939,0.852293710868098
89,12,"Abundance",0.1,0.00408301441324112,1.09422570410336,0.956410485046398
90,12,"Abundance",0.1,0.00379224333293276,1.01977214543799,0.88829989766926
91,12,"Abundance",0.1,0.00353075833599259,0.95082338331379,0.827049319678435
92,12,"Abundance",0.1,0.00358694201106062,0.946439571089493,0.840209855127248
93,12,"Abundance",0.1,0.00425119671521218,1.15654707818901,0.995805721194169
94,12,"Abundance",0.1,0.0036233455283631,0.967095775979583,0.848737061283495
95,12,"Abundance",0.1,0.00371404820730102,0.981426468753282,0.869983372067198
96,12,"Abundance",0.1,0.00361459152962104,0.959223007213805,0.846686513493164
97,12,"Abundance",0.1,0.00399352542863989,1.07445713918202,0.935448471566557
98,12,"Abundance",0.1,0.0037222809940759,0.996782063829995,0.871911830503961
99,12,"Abundance",0.1,0.00410187446679553,1.09959878409025,0.960828287959234
100,12,"Abundance",0.1,0.00369279172813552,0.986840091729525,0.865004227373732
101,12,"Abundance",0.1,0.00377502187472781,1.02602795316166,0.884265921413486
102,12,"Abundance",0.1,0.00375013784539649,0.99181122376691,0.878437054759104
103,12,"Abundance",0.1,0.00390163423803653,1.04378734013539,0.91392376229993
104,12,"Abundance",0.1,0.00344257626730519,0.926543302536933,0.806393439843131
105,12,"Abundance",0.1,0.00374166788860628,1.00066708733635,0.87645304131655
106,12,"Abundance",0.1,0.00373512100724492,1.01366044372495,0.874919491506367
