diff_otu_direct,diff_otu_mode,depth_mu,depth_theta,covariate_eff_sd,confounder_eff_sd,depth_conf_factor,diff_otu_pct,transformation,mean_power,mean_fdp,sd_power,n_rep
balanced,rare,1000,7.75,0,0,0,0.1,ILR,0.016999999999999998,0.1883333333333333,0.0403394686042433,100
balanced,rare,1000,7.75,0,0,0,0.1,RAHC_last_ref,0.009999999999999992,0.036666666666666674,0.035647328251535916,100
balanced,rare,1000,7.75,0,0,0,0.1,RAHC_minvar_ref,0.014555555555555554,0.04750000000000001,0.049707838272087364,100
balanced,rare,1000,7.75,0,0,0,0.1,RAHC_nondiff_ref,0.0019999999999999987,0.02999999999999998,0.014070529413628987,100
balanced,rare,1000,7.75,0,0,0,0.1,RAHC_random_ref,0.012777777777777765,0.05833333333333331,0.05159568758074443,100
balanced,rare,1000,7.75,0,0,0,0.1,RAHC_signal_ref,0.04555555555555551,0.11533333333333334,0.08220523378352604,100
balanced,rare,1000,7.75,0,0,0,0.2,AHC,0.030000000000000002,0.029999999999999978,0.031782086308186394,100
balanced,rare,1000,7.75,0,0,0,0.2,ALR_last_ref,0.05399999999999999,0.09543162393162391,0.07302093820451731,100
balanced,rare,1000,7.75,0,0,0,0.2,ALR_minvar_ref,0.04152631578947369,0.03766666666666666,0.060502133254746994,100
balanced,rare,1000,7.75,0,0,0,0.2,ALR_nondiff_ref,0.015999999999999997,0.02499999999999999,0.02831996119383294,100
balanced,rare,1000,7.75,0,0,0,0.2,ALR_random_ref,0.024157894736842104,0.06192857142857142,0.06533803648078412,100
balanced,rare,1000,7.75,0,0,0,0.2,ALR_signal_ref,0.05842105263157894,0.11543162393162393,0.0747679847657419,100
balanced,rare,1000,7.75,0,0,0,0.2,CLR,0.038,0.04166666666666668,0.034902461491731776,100
balanced,rare,1000,7.75,0,0,0,0.2,ILR,0.0325,0.11333333333333336,0.03508647326336182,100
balanced,rare,1000,7.75,0,0,0,0.2,RAHC_last_ref,0.03671052631578948,0.08933333333333335,0.05406652987533314,100
balanced,rare,1000,7.75,0,0,0,0.2,RAHC_minvar_ref,0.02131578947368421,0.029999999999999985,0.037188882142854464,100
balanced,rare,1000,7.75,0,0,0,0.2,RAHC_nondiff_ref,0.010499999999999997,0,0.024919060896422148,100
balanced,rare,1000,7.75,0,0,0,0.2,RAHC_random_ref,0.015052631578947385,0.049761904761904764,0.052855822132950814,100
balanced,rare,1000,7.75,0,0,0,0.2,RAHC_signal_ref,0.0368421052631579,0.08933333333333335,0.056229992229040515,100
balanced,rare,1000,7.75,0.5,0,0,0.05,AHC,0.042,0.02499999999999999,0.08666666666666661,100
balanced,rare,1000,7.75,0.5,0,0,0.05,ALR_last_ref,0.041999999999999996,0.09250000000000001,0.0895330196975485,100
balanced,rare,1000,7.75,0.5,0,0,0.05,ALR_minvar_ref,0.036,0.014999999999999989,0.08530397222150721,100
